,correct,rt,cond,log_rt
758,1,0.3169,Speed,-1.149169012285262
759,1,0.6064,Neutral,-0.500215444653975
760,1,0.6163,Neutral,-0.48402142101393963
761,0,0.5786,Accuracy,-0.5471438864401024
762,1,1.0835,Neutral,0.0801965419942766
763,1,0.4312,Accuracy,-0.8411832593873496
764,1,0.4008,Accuracy,-0.9142927292114821
765,1,0.3645,Speed,-1.0092287275334242
766,0,0.4292,Speed,-0.8458322682255935
767,1,0.4579,Neutral,-0.7811044593190873
768,1,0.4759,Accuracy,-0.7425475308550723
769,1,0.8234,Accuracy,-0.19431316964633272
770,1,0.4491,Accuracy,-0.8005096988884447
771,1,0.43700000000000006,Neutral,-0.8278220838865468
772,1,0.7228,Accuracy,-0.32462272026406364
773,1,0.457,Neutral,-0.7830718880879323
774,0,0.386,Speed,-0.9519179095173061
775,1,0.8875,Neutral,-0.11934675763256625
776,1,0.5337,Neutral,-0.627921395642238
777,0,0.5395,Accuracy,-0.6171124942839478
778,1,0.8637,Neutral,-0.14652979269589714
779,0,0.4279,Speed,-0.8488657555593659
780,1,0.575,Accuracy,-0.5533852381847867
781,1,0.442,Accuracy,-0.816445396904439
782,1,0.2871,Speed,-1.2479246918551188
783,0,0.3764,Accuracy,-0.9771028712709124
784,1,0.4797,Accuracy,-0.7345943704741188
785,1,0.3105,Speed,-1.1695713776086036
786,1,0.4783,Accuracy,-0.7375171282958859
787,1,0.6754,Accuracy,-0.3924501710306697
788,1,0.7829999999999999,Accuracy,-0.24462258299133405
789,1,0.4223,Neutral,-0.8620393170422391
790,1,0.3687,Speed,-0.9977719737420382
791,1,0.8135,Accuracy,-0.20640935232304455
792,1,0.5952,Neutral,-0.5188577954632551
793,1,0.3579,Neutral,-1.0275016612101568
794,0,0.2166,Speed,-1.5297029444152468
795,1,0.8981,Neutral,-0.107473858305233
796,1,0.5079,Neutral,-0.6774707011749377
797,1,0.3514,Speed,-1.0458301032291402
798,1,0.5553,Neutral,-0.5882467707345755
799,1,0.9093,Accuracy,-0.0950802062502699
800,1,0.5476,Accuracy,-0.6022101855678432
801,0,0.3611,Speed,-1.0186003506987251
802,1,0.5046,Accuracy,-0.6839892427751796
803,1,0.8377,Accuracy,-0.17709523782237324
804,1,0.4333,Speed,-0.8363249502362733
805,1,0.5377,Neutral,-0.6204544951665047
806,0,0.6262,Neutral,-0.46808547008983176
807,1,0.3096,Speed,-1.172474137266565
808,1,0.3435,Speed,-1.068568167319733
809,1,0.4646,Neutral,-0.7665784586458283
810,1,0.4856,Neutral,-0.7223700392368486
811,0,0.5752,Accuracy,-0.5530374725753
812,1,0.4852,Accuracy,-0.723194101912242
813,0,0.6483,Accuracy,-0.4334017268011871
814,1,0.3568,Speed,-1.0305798782762827
815,1,0.3895,Speed,-0.9428914136713341
816,0,0.6237,Accuracy,-0.4720857954500601
817,1,0.3194,Speed,-1.141311043201225
818,0,0.2949,Speed,-1.2211189631609065
819,1,0.2719,Speed,-1.3023209273437122
820,0,0.4469,Accuracy,-0.8054204230427312
821,0,0.7981,Accuracy,-0.2255213761001738
822,1,1.4322,Neutral,0.3592117235907023
823,1,0.4598,Speed,-0.7769636666530559
824,1,0.3023,Speed,-1.1963353771967247
825,1,0.3065,Speed,-1.182537523605871
826,0,0.2951,Speed,-1.2204409970332435
827,1,0.2576,Speed,-1.3563472847519384
828,1,0.3378,Speed,-1.0853012746084374
829,1,0.3535,Speed,-1.0398717936455097
830,1,0.5993,Accuracy,-0.5119929715179974
