,correct,left_coherence,pressed,right_coherence,rt,subj,coherence
246,False,0.0,F,0.18,0.3356921013914871,101,"0.0, 0.18"
247,True,0.06,J,0.3,0.25819118017852816,101,"0.06, 0.3"
248,False,0.18,J,0.06,0.2922063961304957,101,"0.06, 0.18"
249,False,0.3,J,0.0,0.3238361542316852,101,"0.0, 0.3"
250,False,0.12,J,0.0,0.29568608926183515,101,"0.0, 0.12"
251,False,0.3,F,0.3,0.2395869639294688,101,"0.3, 0.3"
252,False,0.18,J,0.06,0.2933931683373885,101,"0.06, 0.18"
253,True,0.24,F,0.06,0.19850056935138127,101,"0.06, 0.24"
254,True,0.0,J,0.24,0.30270490418024565,101,"0.0, 0.24"
255,True,0.12,J,0.12,0.401819292563232,101,"0.12, 0.12"
256,True,0.3,F,0.06,0.27670299802957743,101,"0.06, 0.3"
257,True,0.12,J,0.3,0.2761037244727049,101,"0.12, 0.3"
258,False,0.3,J,0.24,0.15142517946333098,101,"0.24, 0.3"
259,True,0.24,F,0.12,0.0022246264579735,101,"0.12, 0.24"
260,True,0.06,J,0.24,0.33128260610556026,101,"0.06, 0.24"
261,False,0.18,F,0.3,0.3665519190335544,101,"0.18, 0.3"
262,False,0.18,J,0.12,0.25607058849618625,101,"0.12, 0.18"
263,True,0.0,F,0.0,0.3611641366778713,101,"0.0, 0.0"
264,True,0.0,J,0.3,0.30562591255602456,101,"0.0, 0.3"
265,True,0.0,J,0.3,0.5249205540021649,101,"0.0, 0.3"
266,True,0.12,J,0.3,0.3808886315337077,101,"0.12, 0.3"
267,True,0.24,J,0.24,0.4069269706351406,101,"0.24, 0.24"
268,False,0.18,F,0.24,0.3526867569680689,101,"0.18, 0.24"
269,False,0.3,J,0.12,0.4561347271128398,101,"0.12, 0.3"
270,True,0.06,J,0.12,0.3510688845972254,101,"0.06, 0.12"
271,False,0.12,J,0.0,0.3862546649406795,101,"0.0, 0.12"
272,False,0.0,F,0.12,0.23948971704157884,101,"0.0, 0.12"
273,False,0.06,J,0.06,0.34674984831235633,101,"0.06, 0.06"
274,False,0.24,J,0.18,0.4452944696722625,101,"0.18, 0.24"
275,True,0.18,F,0.0,0.29733762401701824,101,"0.0, 0.18"
276,True,0.18,J,0.3,0.329685097399306,101,"0.18, 0.3"
